Date,Time,Home Team,Home Pts,Home Yards,Home TO,Away Team,Away Pts,Away Yards,Away TO
10/8/2023,1:00PM,Pittsburgh Steelers,17,289,1,Baltimore Ravens,10,335,3
10/8/2023,4:05PM,Arizona Cardinals,20,294,3,Cincinnati Bengals,34,380,1
10/8/2023,4:05PM,Los Angeles Rams,14,249,0,Philadelphia Eagles,23,454,1
10/8/2023,4:25PM,Denver Broncos,21,308,3,New York Jets,31,407,2
10/8/2023,4:25PM,Minnesota Vikings,20,329,1,Kansas City Chiefs,27,333,0
10/8/2023,8:20PM,San Francisco 49ers,42,421,1,Dallas Cowboys,10,197,4
10/9/2023,8:15PM,Las Vegas Raiders,17,279,1,Green Bay Packers,13,285,3
10/12/2023,8:15PM,Kansas City Chiefs,19,389,1,Denver Broncos,8,197,3
10/15/2023,9:30AM,Tennessee Titans,16,233,2,Baltimore Ravens,24,360,1
10/15/2023,1:00PM,Cleveland Browns,19,334,2,San Francisco 49ers,17,215,1
10/15/2023,1:00PM,Atlanta Falcons,16,402,3,Washington Commanders,24,193,0
10/15/2023,1:00PM,Miami Dolphins,42,424,1,Carolina Panthers,21,296,0
10/15/2023,1:00PM,Chicago Bears,13,275,3,Minnesota Vikings,19,220,1
10/15/2023,1:00PM,Cincinnati Bengals,17,214,1,Seattle Seahawks,13,384,2
10/15/2023,1:00PM,Jacksonville Jaguars,37,233,1,Indianapolis Colts,20,354,4
10/15/2023,1:00PM,Houston Texans,20,297,1,New Orleans Saints,13,430,2
10/15/2023,4:05PM,Las Vegas Raiders,21,348,1,New England Patriots,17,259,1
10/15/2023,4:25PM,Los Angeles Rams,26,382,1,Arizona Cardinals,9,345,2
10/15/2023,4:25PM,Tampa Bay Buccaneers,6,251,1,Detroit Lions,20,380,0
10/15/2023,4:25PM,New York Jets,20,244,0,Philadelphia Eagles,14,348,4
10/15/2023,8:20PM,Buffalo Bills,14,297,2,New York Giants,9,317,0
10/16/2023,8:15PM,Los Angeles Chargers,17,272,1,Dallas Cowboys,20,342,1
10/19/2023,8:15PM,New Orleans Saints,24,407,1,Jacksonville Jaguars,31,330,2
10/22/2023,1:00PM,Indianapolis Colts,38,456,4,Cleveland Browns,39,316,2
10/22/2023,1:00PM,Tampa Bay Buccaneers,13,329,2,Atlanta Falcons,16,401,3
10/22/2023,1:00PM,New England Patriots,29,364,1,Buffalo Bills,25,339,2
10/22/2023,1:00PM,Chicago Bears,30,323,0,Las Vegas Raiders,12,235,3
10/22/2023,1:00PM,Baltimore Ravens,38,503,1,Detroit Lions,6,337,1
10/22/2023,1:00PM,New York Giants,14,356,2,Washington Commanders,7,273,1
10/22/2023,4:05PM,Los Angeles Rams,17,354,1,Pittsburgh Steelers,24,300,0
10/22/2023,4:05PM,Seattle Seahawks,20,318,3,Arizona Cardinals,10,249,0
10/22/2023,4:25PM,Denver Broncos,19,339,0,Green Bay Packers,17,331,1
10/22/2023,4:25PM,Kansas City Chiefs,31,483,2,Los Angeles Chargers,17,358,2
10/22/2023,8:20PM,Philadelphia Eagles,31,355,2,Miami Dolphins,17,244,1
10/23/2023,8:15PM,Minnesota Vikings,22,452,1,San Francisco 49ers,17,325,3
